Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868954.3778985,-2,-4,-2,-1,-1,0,-3,-2,REST
1764868954.3920634,0,-2,2,-2,-4,-2,-1,0,REST
1764868954.3988662,1,-1,0,0,-2,-2,1,0,REST
1764868954.414999,-3,-2,-3,-1,-3,-1,-1,-1,REST
1764868954.4228818,0,-1,2,-1,-5,-1,-1,-1,REST
1764868954.4289055,-2,0,-3,-1,-1,0,-1,-1,REST
1764868954.445529,-1,-1,3,1,-1,-1,-1,-1,REST
1764868954.452193,-2,-2,-2,-1,0,0,-2,-1,REST
1764868954.4603708,0,1,0,0,-1,0,1,-1,REST
1764868954.4746633,-2,-3,-2,0,-2,-2,0,-1,REST
1764868954.4815118,2,-2,-2,-1,-4,-2,-1,1,REST
1764868954.4984431,-1,0,1,-3,-1,0,0,0,REST
1764868954.50404,-2,1,-2,0,1,0,1,2,REST
1764868954.5121646,-1,-1,-1,-2,1,-2,0,-2,REST
1764868954.5190232,-2,-2,-1,-2,-1,0,-2,-1,REST
1764868954.534633,2,-1,1,-2,-3,1,-2,0,REST
1764868954.5414078,0,-1,0,0,2,1,-1,0,REST
1764868954.5578973,0,-2,2,-3,-1,-1,-2,-2,REST
1764868954.5721004,-2,-2,-2,-2,-3,-2,1,0,REST
1764868954.5788798,-2,-1,1,0,-2,-2,-2,-4,REST
1764868954.5952382,-1,-1,-2,2,-2,-3,-2,0,REST
1764868954.60147,-1,-1,-1,-1,-5,0,-1,-1,REST
1764868954.6179473,1,-2,-2,-1,1,0,0,-1,REST
1764868954.6318512,-2,-4,-4,-1,0,3,0,1,REST
1764868954.6403775,1,0,0,-1,-2,0,-1,1,REST
1764868954.6546853,-1,2,-2,1,-2,-1,-1,-1,REST
1764868954.6615477,-1,-2,-3,-1,0,-3,-1,-2,REST
1764868954.677761,2,1,0,-2,1,-2,-2,1,REST
1764868954.7002292,-2,-3,1,0,-2,-2,-2,-2,REST
1764868954.7146304,-2,-1,3,1,0,1,2,-3,REST
1764868954.7288828,-4,-3,-3,-2,-3,-2,-4,0,REST
1764868954.7377186,2,0,-2,-1,-4,-3,1,-2,REST
1764868954.7521527,-8,-5,-2,-2,-1,-2,-2,-1,REST
1764868954.7588894,-3,-1,-1,-3,-1,0,-1,-1,REST
1764868954.7828236,1,0,1,1,0,-1,0,1,REST
1764868954.7977777,-2,1,-1,0,-1,-3,0,0,REST
1764868954.8121362,2,1,-4,-1,1,-2,-2,-1,REST
1764868954.819005,-1,-1,-3,0,-1,-2,0,1,REST
1764868954.835215,-1,-1,1,-1,1,0,-1,-1,REST
1764868954.8415573,-2,-3,-1,-1,3,0,-3,-2,REST
1764868954.8577979,0,-2,0,0,-4,0,0,-1,REST
1764868954.872139,-2,-4,-1,-2,-3,-2,-1,1,REST
1764868954.8789244,0,1,2,0,-3,-1,-2,0,REST
1764868954.895074,-2,0,0,0,-1,2,-1,-2,REST
